Ward Code,nimdm_ward_lgd,official_ward_lgd,SOA Code,SOA Name
95KK14,Stewartstown Cookstown,STEWARTSTOWN COOKSTOWN,95KK14W1,Stewartstown
95KK15,The Loop Cookstown,THE LOOP COOKSTOWN,95KK15W1,The Loop
95KK16,Tullagh Cookstown,TULLAGH COOKSTOWN,95KK16W1,Tullagh
95LL01,Aghagallon Craigavon,AGHAGALLON CRAIGAVON,95LL01S1,Aghagallon 1
95LL01,Aghagallon Craigavon,AGHAGALLON CRAIGAVON,95LL01S2,Aghagallon 2
95LL02,Annagh Craigavon,ANNAGH CRAIGAVON,95LL02S1,Annagh 1
95LL02,Annagh Craigavon,ANNAGH CRAIGAVON,95LL02S2,Annagh 2
95LL03,Ballybay Craigavon,BALLYBAY CRAIGAVON,95LL03W1,Ballybay
95LL04,Ballyoran Craigavon,BALLYORAN CRAIGAVON,95LL04W1,Ballyoran
95LL05,Bleary Craigavon,BLEARY CRAIGAVON,95LL05S1,Bleary 1
95LL05,Bleary Craigavon,BLEARY CRAIGAVON,95LL05S2,Bleary 2
95LL06,Brownstown Craigavon,BROWNSTOWN CRAIGAVON,95LL06S1,Brownstown 1
95LL06,Brownstown Craigavon,BROWNSTOWN CRAIGAVON,95LL06S2,Brownstown 2
95LL07,Church Craigavon,CHURCH CRAIGAVON,95LL07W1,Church
95LL08,Corcrain Craigavon,CORCRAIN CRAIGAVON,95LL08S1,Corcrain 1
95LL08,Corcrain Craigavon,CORCRAIN CRAIGAVON,95LL08S2,Corcrain 2
95LL09,Court Craigavon,COURT CRAIGAVON,95LL09S1,Court 1
95LL09,Court Craigavon,COURT CRAIGAVON,95LL09S2,Court 2
95LL10,Derrytrasna Craigavon,DERRYTRASNA CRAIGAVON,95LL10S1,Derrytrasna 1
95LL10,Derrytrasna Craigavon,DERRYTRASNA CRAIGAVON,95LL10S2,Derrytrasna 2
95LL11,Donaghcloney Craigavon,DONAGHCLONEY CRAIGAVON,95LL11S1,Donaghcloney 1
95LL11,Donaghcloney Craigavon,DONAGHCLONEY CRAIGAVON,95LL11S2,Donaghcloney 2
95LL12,Drumgask Craigavon,DRUMGASK CRAIGAVON,95LL12S1,Drumgask 1
95LL12,Drumgask Craigavon,DRUMGASK CRAIGAVON,95LL12S2,Drumgask 2
95LL13,Drumgor Craigavon,DRUMGOR CRAIGAVON,95LL13S1,Drumgor 1
95LL13,Drumgor Craigavon,DRUMGOR CRAIGAVON,95LL13S2,Drumgor 2
95LL14,Drumnamoe Craigavon,DRUMNAMOE CRAIGAVON,95LL14S1,Drumnamoe 1
95LL14,Drumnamoe Craigavon,DRUMNAMOE CRAIGAVON,95LL14S2,Drumnamoe 2
95LL15,Edenderry Craigavon,EDENDERRY (CRAIGAVON) CRAIGAVON,95LL15S1,Edenderry 1
95LL15,Edenderry Craigavon,EDENDERRY (CRAIGAVON) CRAIGAVON,95LL15S2,Edenderry 2
95LL16,Kernan Craigavon,KERNAN CRAIGAVON,95LL16S1,Kernan 1
95LL16,Kernan Craigavon,KERNAN CRAIGAVON,95LL16S2,Kernan 2
95LL17,Killycomain Craigavon,KILLYCOMAIN CRAIGAVON,95LL17W1,Killycomain
95LL18,Knocknashane Craigavon,KNOCKNASHANE CRAIGAVON,95LL18S1,Knocknashane 1
95LL18,Knocknashane Craigavon,KNOCKNASHANE CRAIGAVON,95LL18S2,Knocknashane 2
95LL19,Magheralin Craigavon,MAGHERALIN CRAIGAVON,95LL19S1,Magheralin 1
95LL19,Magheralin Craigavon,MAGHERALIN CRAIGAVON,95LL19S2,Magheralin 2
95LL20,Mourneview Craigavon,MOURNEVIEW CRAIGAVON,95LL20W1,Mourneview
95LL21,Parklake Craigavon,PARKLAKE CRAIGAVON,95LL21W1,Parklake
95LL22,Taghnevan Craigavon,TAGHNEVAN CRAIGAVON,95LL22W1,Taghnevan
95LL23,Tavanagh Craigavon,TAVANAGH CRAIGAVON,95LL23W1,Tavanagh
95LL24,The Birches Craigavon,THE BIRCHES CRAIGAVON,95LL24S1,The Birches 1
95LL24,The Birches Craigavon,THE BIRCHES CRAIGAVON,95LL24S2,The Birches 2
95LL25,Waringstown Craigavon,WARINGSTOWN CRAIGAVON,95LL25S1,Waringstown 1
95LL25,Waringstown Craigavon,WARINGSTOWN CRAIGAVON,95LL25S2,Waringstown 2
95LL26,Woodville Craigavon,WOODVILLE CRAIGAVON,95LL26S1,Woodville 1
95LL26,Woodville Craigavon,WOODVILLE CRAIGAVON,95LL26S2,Woodville 2
95MM01,Altnagelvin Derry,ALTNAGELVIN DERRY,95MM01S1,Altnagelvin 1
95MM01,Altnagelvin Derry,ALTNAGELVIN DERRY,95MM01S2,Altnagelvin 2
95MM01,Altnagelvin Derry,ALTNAGELVIN DERRY,95MM01S3,Altnagelvin 3
95MM02,Ballynashallog Derry,BALLYNASHALLOG DERRY,95MM02S1,Ballynashallog 1
95MM02,Ballynashallog Derry,BALLYNASHALLOG DERRY,95MM02S2,Ballynashallog 2
95MM03,Banagher Derry,BANAGHER DERRY,95MM03W1,Banagher
95MM04,Beechwood Derry,BEECHWOOD DERRY,95MM04W1,Beechwood
95MM05,Brandywell Derry,BRANDYWELL DERRY,95MM05W1,Brandywell
95MM06,Carn Hill Derry,CARN HILL DERRY,95MM06S1,Carn Hill 1
95MM06,Carn Hill Derry,CARN HILL DERRY,95MM06S2,Carn Hill 2
95MM07,Caw Derry,CAW DERRY,95MM07W1,Caw
95MM08,Clondermot Derry,CLONDERMOT DERRY,95MM08S1,Clondermot 1
95MM08,Clondermot Derry,CLONDERMOT DERRY,95MM08S2,Clondermot 2
95MM09,Claudy Derry,CLAUDY DERRY,95MM09S1,Claudy 1
95MM09,Claudy Derry,CLAUDY DERRY,95MM09S2,Claudy 2
95MM10,Creggan Central Derry,CREGGAN CENTRAL DERRY,95MM10S1,Creggan Central 1
95MM10,Creggan Central Derry,CREGGAN CENTRAL DERRY,95MM10S2,Creggan Central 2
